transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
1;10/05/2025 01:04;10020-122;Croquettes au Saumon et Légumes Chats Adultes Friskies 1,7kg;1;119,95 DH;119,95 DH;SM-308;Friskies;Alimentaion animale
2;18/09/2025 19:43;10020-6;Pâtée pour Chat AYDI Companino 4x85g;9;44,50 DH;400,50 DH;SM-164;COPAG;Alimentaion animale
3;16/12/2025 09:28;10020-275;Récompense pour Chien AYDI Companino 440g;1;58,95 DH;58,95 DH;SM-184;COPAG;Alimentaion animale
4;19/07/2025 08:53;10020-27;Assortiment Pâtée Boeuf Poulet Légumes AYDI 4x400g;9;70,50 DH;634,50 DH;SM-166;COPAG;Alimentaion animale
5;11/05/2025 01:34;10020-219;Pâtée Bouchées Sauce au Poulet et au Foie pour Chats Adultes AYDI 820g;5;22,95 DH;114,75 DH;SM-025;COPAG;Alimentaion animale
6;07/06/2025 23:54;10020-140;Croquettes pour Chat Junior Poulet et Carottes avec Lait AYDI 400g;1;22,95 DH;22,95 DH;SM-157;COPAG;Alimentaion animale
7;14/12/2025 05:03;10020-72;Barres pour Chiot Activpet Junior 100g;8;9,30 DH;74,40 DH;SM-239;Activpet;Alimentaion animale
8;19/05/2025 12:05;10020-265;Pochons au Saumon Friskies 85g;1;7,95 DH;7,95 DH;SM-087;Friskies;Alimentaion animale
9;13/10/2025 04:51;10020-217;Pâtée au Poulet et Carottes pour Chats AYDI Blanc 400g;7;11,50 DH;80,50 DH;SM-056;COPAG;Alimentaion animale
10;21/03/2025 23:20;10020-152;Croquettes pour Chien Adulte Maxi au Bœuf & Volaille AYDI 18kg;7;432,35 DH;3026,45 DH;SM-290;COPAG;Alimentaion animale
11;22/01/2025 06:46;10020-129;Croquettes aux Boissons pour Chats Adultes Miglior Gatto 400g;6;18,50 DH;111,00 DH;SM-126;Gatto;Alimentaion animale
12;26/10/2025 03:16;10020-46;Litière Agglomérante Lavande Lindocat 10L;7;75,95 DH;531,65 DH;SM-117;Diana;Alimentaion animale
13;15/07/2025 21:37;10020-17;Colier pour Chat 1;6;17,90 DH;107,40 DH;SM-235;COPAG;Alimentaion animale
14;18/09/2025 07:41;10020-8;Récompense pour Chien Mini Sticks Dental Care AYDI Companino 110g;2;15,15 DH;30,30 DH;SM-179;COPAG;Alimentaion animale
15;08/02/2025 17:31;10020-267;Pochons Chat Boeuf Felix 85g;6;10,55 DH;63,30 DH;SM-256;Gatto;Alimentaion animale
16;28/10/2025 01:21;10020-157;Croquettes pour Chien AYDI Companino 3kg;4;122,80 DH;491,20 DH;SM-046;COPAG;Alimentaion animale
