transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
890084;10/06/2025 19:05;10130-19;Cornets Glace Crème Brûlée Extra 6 unités 417g.;12;36,65 DH;439,80 DH;SM-057;Yasmina Ice;Produits surgelés
890085;10/06/2025 19:14;10130-358;Haricots Verts Extra Fins Findus 400g;9;40,50 DH;364,50 DH;SM-235;Goldy;Produits surgelés
890086;10/06/2025 19:22;10130-121;Bâtonnet Feast Walls 80ml;13;11,00 DH;143,00 DH;SM-171;Pingouin Glace;Produits surgelés
890087;10/06/2025 19:31;10130-492;Polo Cola La Menorquina 150ml;1;16,95 DH;16,95 DH;SM-304;Nestlé;Produits surgelés
890088;10/06/2025 19:40;10130-234;Crème Glacée Chocolat Cornet Delicio Corne 70ml;7;2,70 DH;18,90 DH;SM-126;Pingouin Glace;Produits surgelés
890089;10/06/2025 19:49;10130-577;Tubes de Calamar Asmak Raïs 1kg;15;74,95 DH;1124,25 DH;SM-059;Asmak Sud;Produits surgelés
890090;10/06/2025 19:58;10130-68;Bâtonnet Vanille Fraise Sans Sucre Dione 90ml;4;32,25 DH;129,00 DH;SM-178;Pingouin Glace;Produits surgelés
890091;10/06/2025 20:06;10130-396;Mochi Fruit de la Passion Mochiwa 6x35g;10;68,95 DH;689,50 DH;SM-245;Goldy;Produits surgelés
890092;10/06/2025 20:15;10130-182;Bâtonnets Roll Ice Mini Passion & Tropical Casty 50ml 8 unités;6;75,50 DH;453,00 DH;SM-088;Pingouin Glace;Produits surgelés
890093;10/06/2025 20:24;10130-541;Pot Glace Vanille Stracciatella Sans Sucre 500ml.;14;94,95 DH;1329,30 DH;SM-309;Nestlé;Produits surgelés
890094;10/06/2025 20:33;10130-32;Cornet de Glace Chocolat & Pistache 6x120ml.;2;46,50 DH;93,00 DH;SM-063;Asmak Sud;Produits surgelés
890095;10/06/2025 20:41;10130-377;Mélange de Légumes Wok Chinois Findus 325g;11;27,95 DH;307,45 DH;SM-204;Goldy;Produits surgelés
890096;20/07/2025 08:55;10130-148;Bâtonnet glace vanille caramel amande Häagen-Dazs 80ml;9;26,40 DH;237,60 DH;SM-135;Häagen-Dazs;Produits surgelés
890097;20/07/2025 09:04;10130-518;Pot de Glace Vanille avec Cookies Casty 500ml;13;62,50 DH;812,50 DH;SM-091;Nestlé;Produits surgelés
890098;20/07/2025 09:12;10130-267;Crevettes rouges 100/200 Landauer 800g;5;60,50 DH;302,50 DH;SM-247;Pingouin Glace;Produits surgelés
890100;20/07/2025 09:30;10130-93;Bâtonnet Glacé Exotique Solero 100ml;7;13,95 DH;97,65 DH;SM-322;Pingouin Glace;Produits surgelés
890101;20/07/2025 09:39;10130-459;Petites Croquettes de Poisson Croustibat Findus 360g;15;57,20 DH;858,00 DH;SM-057;Nestlé;Produits surgelés
890102;20/07/2025 09:47;10130-221;Cornet Glace Vanille Pingouin 1 unité;3;6,95 DH;20,85 DH;SM-233;Yasmina Ice;Produits surgelés
890103;20/07/2025 09:56;10130-567;Sorbet Cassis en Bac Novita 1L;10;49,95 DH;499,50 DH;SM-168;Nestlé;Produits surgelés
890104;20/07/2025 10:05;10130-64;Bâtonnet Glace Oreo 110ml.;8;19,95 DH;159,60 DH;SM-096;Pingouin Glace;Produits surgelés
890105;20/07/2025 10:14;10130-391;Mix de Glace Mini Bâtonnets Simpl 8 unités 284g.;14;44,95 DH;629,30 DH;SM-324;Goldy;Produits surgelés
890106;20/07/2025 10:23;10130-175;Bâtonnets Glace Maxi Pistache Choco Yasmina 3 unités 80ml.;1;21,25 DH;21,25 DH;SM-181;Yasmina Ice;Produits surgelés
890107;20/07/2025 10:31;10130-542;Pot macaron fraise et framboise -Pierre Hermé- Häagen-Dazs 420ml;11;84,95 DH;934,45 DH;SM-212;Häagen-Dazs;Produits surgelés
890108;20/07/2025 10:40;10130-28;Pommes Duchesses 600g;4;27,95 DH;111,80 DH;SM-067;Asmak Sud;Produits surgelés
890109;20/07/2025 10:49;10130-386;Mini Pizza Tomate Mozzarella 9 unités 270g.;9;48,25 DH;434,25 DH;SM-301;Sahel;Produits surgelés
